sku,name,category,subcategory,brand,supplier,base_price,cost,moq,warranty_months
SKU-00001,Bucher Hydraulics Caudalímetros 349,Instrumentación,Caudalímetros,Bucher Hydraulics,Industrial Flow Partners,435750.0,319405.0,2,6.0
SKU-00002,Bezares Proporcionales 377,Válvulas,Proporcionales,Bezares,Andes Motion,453942.0,345904.0,2,12.0
SKU-00003,Sun Hydraulics Control Flujo 595,Válvulas,Control Flujo,Sun Hydraulics,Hydroline Andina,583995.0,447340.0,1,6.0
SKU-00004,Hydac Proporcionales 114,Válvulas,Proporcionales,Hydac,Pacific Seal Supply,244324.0,196192.0,1,12.0
SKU-00005,Olaer Microcontroladores 602,Control y Electrónica,Microcontroladores,Olaer,Hydroline Andina,1170439.0,869636.0,1,36.0
SKU-00006,Marzocchi Engranaje 589,Motores Hidráulicos,Engranaje,Marzocchi,Tecfluid Norte,2453105.0,2018905.0,1,12.0
SKU-00007,Calzoni Engranaje 187,Motores Hidráulicos,Engranaje,Calzoni,Andes Motion,555594.0,443364.0,1,24.0
SKU-00008,Casappa Direccionales Múltiples 404,Comandos Direccionales,Direccionales Múltiples,Casappa,Andes Motion,1563036.0,1142579.0,2,18.0
SKU-00009,Webtec Tomas de Fuerza 776,Accesorios y Acoples,Tomas de Fuerza,Webtec,Pacific Seal Supply,157152.0,105292.0,1,36.0
SKU-00010,Sun Hydraulics Engranaje 395,Motores Hidráulicos,Engranaje,Sun Hydraulics,Maestranza Integral,2849563.0,2450624.0,2,12.0
SKU-00011,FaberCom Control Remoto 330,Control y Electrónica,Control Remoto,FaberCom,Hydroline Andina,840493.0,580781.0,1,18.0
SKU-00012,Olaer Planetarios 805,Winches,Planetarios,Olaer,Maestranza Integral,892754.0,785624.0,2,18.0
SKU-00013,Olaer Control Presión 356,Válvulas,Control Presión,Olaer,Pacific Seal Supply,443486.0,330841.0,2,36.0
SKU-00014,Sun Hydraulics Engranaje 874,Bombas Hidráulicas,Engranaje,Sun Hydraulics,Industrial Flow Partners,3786420.0,2983699.0,2,24.0
SKU-00015,Hydac Reductores Planetarios 193,Mandos Finales,Reductores Planetarios,Hydac,Industrial Flow Partners,3984052.0,3454173.0,10,36.0
SKU-00016,Scanreco Manómetros 778,Instrumentación,Manómetros,Scanreco,Tecfluid Norte,213003.0,166994.0,2,36.0
SKU-00017,Danfoss Pistones 101,Acumuladores,Pistones,Danfoss,Andes Motion,205045.0,167522.0,2,24.0
SKU-00018,FaberCom Recuperación 152,Winches,Recuperación,FaberCom,Andes Motion,798122.0,668826.0,2,36.0
SKU-00019,Casappa Proporcionales 723,Comandos Direccionales,Proporcionales,Casappa,Maestranza Integral,2327861.0,1825043.0,1,
SKU-00020,Commercial Hydraulics Monoblock 763,Comandos Direccionales,Monoblock,Commercial Hydraulics,Tecfluid Norte,1430997.0,1097575.0,1,18.0
SKU-00021,Webtec Reductores Planetarios 248,Mandos Finales,Reductores Planetarios,Webtec,Pacific Seal Supply,5878964.0,4997119.0,2,6.0
SKU-00022,Brevini Diafragma 619,Acumuladores,Diafragma,Brevini,Pacific Seal Supply,1139735.0,948260.0,2,12.0
SKU-00023,Webtec Cartridge 595,Válvulas,Cartridge,Webtec,Industrial Flow Partners,256381.0,184594.0,2,6.0
SKU-00024,Casappa Retorno 976,Filtros,Retorno,Casappa,Pacific Seal Supply,50248.0,28290.0,1,24.0
SKU-00025,KTR Diafragma 607,Acumuladores,Diafragma,KTR,Industrial Flow Partners,751626.0,549439.0,5,36.0
SKU-00026,Hydac Paleta 115,Bombas Hidráulicas,Paleta,Hydac,Pacific Seal Supply,1594177.0,1377369.0,1,24.0
SKU-00027,Scanreco Microcontroladores 507,Control y Electrónica,Microcontroladores,Scanreco,Industrial Flow Partners,1165450.0,944015.0,2,12.0
SKU-00028,KTR Planetarios 136,Winches,Planetarios,KTR,Industrial Flow Partners,5226382.0,4463330.0,5,18.0
SKU-00029,Sun Hydraulics Acoples Rotex 878,Accesorios y Acoples,Acoples Rotex,Sun Hydraulics,Industrial Flow Partners,172678.0,125710.0,1,18.0
SKU-00030,Rexroth Recuperación 483,Winches,Recuperación,Rexroth,Andes Motion,1415006.0,1222565.0,2,
SKU-00031,Sun Hydraulics Diafragma 491,Acumuladores,Diafragma,Sun Hydraulics,Pacific Seal Supply,665113.0,506151.0,2,
SKU-00032,Bucher Hydraulics Campanas 923,Accesorios y Acoples,Campanas,Bucher Hydraulics,Pacific Seal Supply,40064.0,27925.0,2,36.0
SKU-00033,Casappa Manómetros 806,Instrumentación,Manómetros,Casappa,Maestranza Integral,72101.0,47442.0,2,36.0
SKU-00034,Webtec Control Presión 402,Válvulas,Control Presión,Webtec,Maestranza Integral,799515.0,539673.0,2,24.0
SKU-00035,Parker Control Remoto 952,Control y Electrónica,Control Remoto,Parker,Industrial Flow Partners,505177.0,413740.0,1,24.0
SKU-00036,Brevini Direccional 742,Válvulas,Direccional,Brevini,Tecfluid Norte,194729.0,153446.0,1,36.0
SKU-00037,Webtec Planetarios 279,Winches,Planetarios,Webtec,Andes Motion,683505.0,585080.0,2,12.0
SKU-00038,Casappa Direccionales Múltiples 402,Comandos Direccionales,Direccionales Múltiples,Casappa,Tecfluid Norte,1383429.0,986385.0,2,18.0
SKU-00039,Rexroth Control Remoto 909,Control y Electrónica,Control Remoto,Rexroth,Andes Motion,1157327.0,925862.0,2,24.0
SKU-00040,Olaer Diafragma 753,Acumuladores,Diafragma,Olaer,Pacific Seal Supply,255496.0,204908.0,2,24.0
SKU-00041,Sun Hydraulics Spin-On 750,Filtros,Spin-On,Sun Hydraulics,Andes Motion,10803.0,6190.0,5,6.0
SKU-00042,Scanreco Manómetros 650,Instrumentación,Manómetros,Scanreco,Hydroline Andina,109673.0,72165.0,2,
SKU-00043,FaberCom Reductores Planetarios 258,Mandos Finales,Reductores Planetarios,FaberCom,Tecfluid Norte,5627501.0,4563903.0,2,24.0
SKU-00044,Rexroth Pistones 341,Acumuladores,Pistones,Rexroth,Andes Motion,954226.0,694677.0,2,6.0
SKU-00045,Bezares Spin-On 968,Filtros,Spin-On,Bezares,Pacific Seal Supply,108990.0,67683.0,2,6.0
SKU-00046,Argo Hytos Sensores Presión 905,Instrumentación,Sensores Presión,Argo Hytos,Industrial Flow Partners,394511.0,258010.0,2,6.0
SKU-00047,Poclain Campanas 710,Accesorios y Acoples,Campanas,Poclain,Pacific Seal Supply,55754.0,41314.0,2,6.0
SKU-00048,Denison Pistones Axiales 908,Bombas Hidráulicas,Pistones Axiales,Denison,Maestranza Integral,2499937.0,1879953.0,1,6.0
SKU-00049,KTR Monoblock 559,Comandos Direccionales,Monoblock,KTR,Hydroline Andina,534706.0,450222.0,1,36.0
SKU-00050,Marzocchi Accesorios Estanque 131,Filtros,Accesorios Estanque,Marzocchi,Hydroline Andina,58625.0,41389.0,2,18.0
SKU-00051,Calzoni Pistones Radiales 251,Bombas Hidráulicas,Pistones Radiales,Calzoni,Andes Motion,3134524.0,2513888.0,1,
SKU-00052,Olaer Engranaje 617,Motores Hidráulicos,Engranaje,Olaer,Pacific Seal Supply,3238768.0,2620163.0,5,24.0
SKU-00053,Rexroth Tomas de Fuerza 333,Accesorios y Acoples,Tomas de Fuerza,Rexroth,Industrial Flow Partners,33031.0,21867.0,1,18.0
SKU-00054,FaberCom Vejiga 803,Acumuladores,Vejiga,FaberCom,Andes Motion,670705.0,562051.0,2,12.0
SKU-00055,Poclain Sensores Presión 675,Instrumentación,Sensores Presión,Poclain,Hydroline Andina,83141.0,65349.0,1,24.0
SKU-00056,Rexroth Agua-Aceite 460,Enfriadores,Agua-Aceite,Rexroth,Andes Motion,804156.0,638500.0,1,12.0
SKU-00057,Hydac Pistones 880,Motores Hidráulicos,Pistones,Hydac,Maestranza Integral,942705.0,770190.0,2,24.0
SKU-00058,Sun Hydraulics Proporcionales 949,Válvulas,Proporcionales,Sun Hydraulics,Andes Motion,679995.0,444717.0,1,24.0
SKU-00059,Parker Control Remoto 246,Control y Electrónica,Control Remoto,Parker,Maestranza Integral,364261.0,259718.0,2,
SKU-00060,Poclain Tomas de Fuerza 564,Accesorios y Acoples,Tomas de Fuerza,Poclain,Maestranza Integral,186537.0,112855.0,5,6.0
SKU-00061,Bezares Presión 872,Filtros,Presión,Bezares,Tecfluid Norte,88819.0,52847.0,1,
SKU-00062,Poclain Acoples Rotex 624,Accesorios y Acoples,Acoples Rotex,Poclain,Tecfluid Norte,113563.0,79948.0,10,12.0
SKU-00063,Scanreco Orbitales 713,Motores Hidráulicos,Orbitales,Scanreco,Hydroline Andina,1559583.0,1235190.0,2,
SKU-00064,Argo Hytos Engranaje 609,Bombas Hidráulicas,Engranaje,Argo Hytos,Tecfluid Norte,4262160.0,3226455.0,2,12.0
SKU-00065,Commercial Hydraulics Displays 982,Control y Electrónica,Displays,Commercial Hydraulics,Maestranza Integral,487239.0,351299.0,5,12.0
SKU-00066,Scanreco Joystick 755,Control y Electrónica,Joystick,Scanreco,Hydroline Andina,578717.0,468182.0,2,24.0
SKU-00067,Rexroth Vejiga 470,Acumuladores,Vejiga,Rexroth,Andes Motion,109616.0,88570.0,5,18.0
SKU-00068,Rexroth Orbitales 441,Motores Hidráulicos,Orbitales,Rexroth,Maestranza Integral,2291247.0,1897153.0,5,36.0
SKU-00069,Hydac Reductores Planetarios 938,Mandos Finales,Reductores Planetarios,Hydac,Industrial Flow Partners,1620992.0,1360012.0,2,12.0
SKU-00070,Sun Hydraulics Planetarios 743,Winches,Planetarios,Sun Hydraulics,Hydroline Andina,1305443.0,1143568.0,1,6.0
SKU-00071,Marzocchi Data Loggers 550,Instrumentación,Data Loggers,Marzocchi,Pacific Seal Supply,285876.0,188964.0,2,36.0
SKU-00072,FaberCom Orbitales 138,Motores Hidráulicos,Orbitales,FaberCom,Industrial Flow Partners,1653538.0,1395586.0,1,12.0
SKU-00073,Webtec Pistones Axiales 910,Bombas Hidráulicas,Pistones Axiales,Webtec,Hydroline Andina,2954299.0,2138912.0,2,18.0
SKU-00074,FaberCom Joystick 930,Control y Electrónica,Joystick,FaberCom,Pacific Seal Supply,799613.0,619700.0,2,
SKU-00075,Hydac Spin-On 262,Filtros,Spin-On,Hydac,Industrial Flow Partners,27327.0,19129.0,2,24.0
SKU-00076,Webtec Retorno 437,Filtros,Retorno,Webtec,Andes Motion,53782.0,36679.0,5,36.0
SKU-00077,Calzoni Pistones 779,Motores Hidráulicos,Pistones,Calzoni,Tecfluid Norte,1409580.0,1083967.0,1,12.0
SKU-00078,Webtec Reductores Planetarios 758,Mandos Finales,Reductores Planetarios,Webtec,Industrial Flow Partners,5829056.0,4972185.0,1,12.0
SKU-00079,Hydac Presión 319,Filtros,Presión,Hydac,Hydroline Andina,80355.0,53436.0,2,12.0
SKU-00080,Argo Hytos Alta Presión 955,Filtros,Alta Presión,Argo Hytos,Maestranza Integral,119997.0,86278.0,1,24.0
SKU-00081,KTR Joystick 269,Control y Electrónica,Joystick,KTR,Pacific Seal Supply,200706.0,153942.0,5,24.0
SKU-00082,Danfoss Displays 902,Control y Electrónica,Displays,Danfoss,Andes Motion,468944.0,337171.0,5,12.0
SKU-00083,Casappa Caudalímetros 684,Instrumentación,Caudalímetros,Casappa,Maestranza Integral,206397.0,140144.0,1,12.0
SKU-00084,Webtec Data Loggers 356,Instrumentación,Data Loggers,Webtec,Andes Motion,316657.0,233376.0,1,24.0
SKU-00085,Bezares Pistones Radiales 264,Bombas Hidráulicas,Pistones Radiales,Bezares,Pacific Seal Supply,4214177.0,3228060.0,1,12.0
SKU-00086,Hydac Control Presión 524,Válvulas,Control Presión,Hydac,Maestranza Integral,669061.0,537925.0,2,12.0
SKU-00087,Hydac Pistones Radiales 959,Bombas Hidráulicas,Pistones Radiales,Hydac,Tecfluid Norte,1175635.0,847633.0,1,12.0
SKU-00088,Denison Control Remoto 730,Control y Electrónica,Control Remoto,Denison,Maestranza Integral,94049.0,65082.0,1,36.0
SKU-00089,Parker Engranaje 343,Bombas Hidráulicas,Engranaje,Parker,Tecfluid Norte,1088098.0,931412.0,2,
SKU-00090,Danfoss Cartridge 116,Válvulas,Cartridge,Danfoss,Maestranza Integral,350365.0,240000.0,1,18.0
SKU-00091,Marzocchi Recuperación 291,Winches,Recuperación,Marzocchi,Maestranza Integral,4451994.0,3850975.0,2,6.0
SKU-00092,Poclain Recuperación 144,Winches,Recuperación,Poclain,Pacific Seal Supply,5860600.0,5227655.0,1,18.0
SKU-00093,Bezares Izado 206,Winches,Izado,Bezares,Tecfluid Norte,4610241.0,3950977.0,1,36.0
SKU-00094,Denison Adaptadores 286,Accesorios y Acoples,Adaptadores,Denison,Hydroline Andina,91313.0,65654.0,2,36.0
SKU-00095,FaberCom Reductores Planetarios 627,Mandos Finales,Reductores Planetarios,FaberCom,Hydroline Andina,2912787.0,2606944.0,1,12.0
SKU-00096,Bucher Hydraulics Pistones 227,Acumuladores,Pistones,Bucher Hydraulics,Tecfluid Norte,132001.0,101113.0,1,36.0
SKU-00097,Calzoni Alta Presión 476,Filtros,Alta Presión,Calzoni,Industrial Flow Partners,57251.0,32003.0,2,18.0
SKU-00098,Poclain Agua-Aceite 205,Enfriadores,Agua-Aceite,Poclain,Industrial Flow Partners,935324.0,770707.0,1,24.0
SKU-00099,Webtec Orbitales 844,Motores Hidráulicos,Orbitales,Webtec,Tecfluid Norte,2340396.0,1841892.0,10,12.0
SKU-00100,Scanreco Accesorios Estanque 867,Filtros,Accesorios Estanque,Scanreco,Tecfluid Norte,79621.0,47136.0,2,12.0
SKU-00101,Parker Planetarios 760,Winches,Planetarios,Parker,Maestranza Integral,5167681.0,4232331.0,1,
SKU-00102,Calzoni Retorno 178,Filtros,Retorno,Calzoni,Pacific Seal Supply,11627.0,8360.0,2,12.0
SKU-00103,Hydac Campanas 611,Accesorios y Acoples,Campanas,Hydac,Tecfluid Norte,102518.0,67969.0,1,
SKU-00104,Casappa Agua-Aceite 602,Enfriadores,Agua-Aceite,Casappa,Hydroline Andina,634287.0,536607.0,2,36.0
SKU-00105,Denison Direccionales Múltiples 427,Comandos Direccionales,Direccionales Múltiples,Denison,Hydroline Andina,1195862.0,855041.0,1,36.0
SKU-00106,Poclain Izado 224,Winches,Izado,Poclain,Pacific Seal Supply,3481942.0,2761180.0,2,12.0
SKU-00107,Sun Hydraulics Direccionales Múltiples 167,Comandos Direccionales,Direccionales Múltiples,Sun Hydraulics,Andes Motion,182556.0,140020.0,1,24.0
SKU-00108,Bucher Hydraulics Control Presión 560,Válvulas,Control Presión,Bucher Hydraulics,Pacific Seal Supply,343366.0,257524.0,1,12.0
SKU-00109,Denison Manómetros 156,Instrumentación,Manómetros,Denison,Pacific Seal Supply,394683.0,305090.0,2,24.0
SKU-00110,Denison Pistones 966,Motores Hidráulicos,Pistones,Denison,Tecfluid Norte,990354.0,829917.0,2,24.0
SKU-00111,Argo Hytos Orbitales 706,Motores Hidráulicos,Orbitales,Argo Hytos,Industrial Flow Partners,4790488.0,4043172.0,1,24.0
SKU-00112,Commercial Hydraulics Campanas 129,Accesorios y Acoples,Campanas,Commercial Hydraulics,Industrial Flow Partners,157997.0,97642.0,5,
SKU-00113,Marzocchi Engranaje 658,Motores Hidráulicos,Engranaje,Marzocchi,Tecfluid Norte,3325424.0,2593831.0,1,18.0
SKU-00114,Bucher Hydraulics Control Flujo 550,Válvulas,Control Flujo,Bucher Hydraulics,Maestranza Integral,648633.0,456638.0,1,36.0
SKU-00115,FaberCom Vejiga 453,Acumuladores,Vejiga,FaberCom,Maestranza Integral,563073.0,467914.0,2,36.0
SKU-00116,Bezares Diafragma 199,Acumuladores,Diafragma,Bezares,Pacific Seal Supply,877545.0,709934.0,2,18.0
SKU-00117,Calzoni Pistones Axiales 294,Bombas Hidráulicas,Pistones Axiales,Calzoni,Pacific Seal Supply,1968886.0,1429411.0,2,24.0
SKU-00118,Hydac Reductores Planetarios 346,Mandos Finales,Reductores Planetarios,Hydac,Andes Motion,4391070.0,3789493.0,10,24.0
SKU-00119,Bezares Monoblock 967,Comandos Direccionales,Monoblock,Bezares,Hydroline Andina,240286.0,186462.0,2,12.0
SKU-00120,Denison Orbitales 299,Motores Hidráulicos,Orbitales,Denison,Tecfluid Norte,3692039.0,2883482.0,2,
SKU-00121,Webtec Accesorios Estanque 503,Filtros,Accesorios Estanque,Webtec,Hydroline Andina,51271.0,33839.0,1,6.0
SKU-00122,Casappa Retorno 830,Filtros,Retorno,Casappa,Tecfluid Norte,92556.0,65715.0,1,
SKU-00123,Hydac Alta Presión 731,Filtros,Alta Presión,Hydac,Andes Motion,24681.0,14093.0,2,6.0
SKU-00124,Marzocchi Control Remoto 477,Control y Electrónica,Control Remoto,Marzocchi,Tecfluid Norte,633412.0,474426.0,5,18.0
SKU-00125,Scanreco Spin-On 771,Filtros,Spin-On,Scanreco,Pacific Seal Supply,42460.0,24202.0,1,24.0
SKU-00126,Danfoss Campanas 348,Accesorios y Acoples,Campanas,Danfoss,Pacific Seal Supply,122710.0,84179.0,2,6.0
SKU-00127,Argo Hytos Engranaje 726,Bombas Hidráulicas,Engranaje,Argo Hytos,Hydroline Andina,2068518.0,1681705.0,2,18.0
SKU-00128,Denison Sensores Presión 277,Instrumentación,Sensores Presión,Denison,Pacific Seal Supply,148185.0,111287.0,5,18.0
SKU-00129,Casappa Manómetros 352,Instrumentación,Manómetros,Casappa,Tecfluid Norte,415245.0,278214.0,2,24.0
SKU-00130,Webtec Proporcionales 424,Válvulas,Proporcionales,Webtec,Maestranza Integral,754651.0,492787.0,1,36.0
SKU-00131,Casappa Manómetros 891,Instrumentación,Manómetros,Casappa,Industrial Flow Partners,185871.0,145351.0,2,18.0
SKU-00132,Danfoss Reductores Planetarios 306,Mandos Finales,Reductores Planetarios,Danfoss,Tecfluid Norte,7678259.0,6841329.0,2,36.0
SKU-00133,Casappa Agua-Aceite 643,Enfriadores,Agua-Aceite,Casappa,Industrial Flow Partners,652500.0,565065.0,1,6.0
SKU-00134,Sun Hydraulics Monoblock 663,Comandos Direccionales,Monoblock,Sun Hydraulics,Hydroline Andina,358471.0,286777.0,5,6.0
SKU-00135,Bucher Hydraulics Reductores Planetarios 887,Mandos Finales,Reductores Planetarios,Bucher Hydraulics,Andes Motion,5483879.0,4436458.0,5,36.0
SKU-00136,Marzocchi Pistones 280,Motores Hidráulicos,Pistones,Marzocchi,Maestranza Integral,2768731.0,2176223.0,1,18.0
SKU-00137,Bucher Hydraulics Pistones Radiales 717,Bombas Hidráulicas,Pistones Radiales,Bucher Hydraulics,Maestranza Integral,4224248.0,3066804.0,1,
SKU-00138,Webtec Orbitales 297,Motores Hidráulicos,Orbitales,Webtec,Andes Motion,4947677.0,4002671.0,1,24.0
SKU-00139,Commercial Hydraulics Orbitales 875,Motores Hidráulicos,Orbitales,Commercial Hydraulics,Industrial Flow Partners,2402789.0,2035162.0,2,12.0
SKU-00140,Brevini Direccionales Múltiples 289,Comandos Direccionales,Direccionales Múltiples,Brevini,Industrial Flow Partners,2254962.0,1637102.0,1,18.0
SKU-00141,KTR Reductores Planetarios 840,Mandos Finales,Reductores Planetarios,KTR,Maestranza Integral,849177.0,725197.0,2,12.0
SKU-00142,Olaer Acoples Rotex 802,Accesorios y Acoples,Acoples Rotex,Olaer,Industrial Flow Partners,93090.0,68607.0,2,12.0
SKU-00143,Rexroth Agua-Aceite 565,Enfriadores,Agua-Aceite,Rexroth,Industrial Flow Partners,1844841.0,1553356.0,1,6.0
SKU-00144,Scanreco Control Remoto 710,Control y Electrónica,Control Remoto,Scanreco,Industrial Flow Partners,681620.0,513941.0,1,6.0
SKU-00145,FaberCom Pistones 307,Motores Hidráulicos,Pistones,FaberCom,Pacific Seal Supply,3578077.0,3112927.0,1,24.0
SKU-00146,Commercial Hydraulics Campanas 556,Accesorios y Acoples,Campanas,Commercial Hydraulics,Tecfluid Norte,214349.0,150044.0,2,
SKU-00147,Denison Pistones Radiales 505,Bombas Hidráulicas,Pistones Radiales,Denison,Pacific Seal Supply,1957097.0,1546107.0,5,12.0
SKU-00148,Argo Hytos Cartridge 583,Válvulas,Cartridge,Argo Hytos,Pacific Seal Supply,81598.0,61035.0,1,
SKU-00149,Scanreco Pistones Axiales 491,Bombas Hidráulicas,Pistones Axiales,Scanreco,Maestranza Integral,3495028.0,2645736.0,2,12.0
SKU-00150,Calzoni Data Loggers 650,Instrumentación,Data Loggers,Calzoni,Hydroline Andina,419156.0,293828.0,2,
SKU-00151,Denison Pistones 657,Acumuladores,Pistones,Denison,Industrial Flow Partners,1469789.0,1089114.0,2,18.0
SKU-00152,Calzoni Pistones 529,Acumuladores,Pistones,Calzoni,Maestranza Integral,431467.0,347331.0,1,
SKU-00153,Sun Hydraulics Acoples Rotex 511,Accesorios y Acoples,Acoples Rotex,Sun Hydraulics,Maestranza Integral,21486.0,14460.0,1,6.0
SKU-00154,Casappa Caudalímetros 849,Instrumentación,Caudalímetros,Casappa,Maestranza Integral,460000.0,314640.0,2,6.0
SKU-00155,Marzocchi Adaptadores 523,Accesorios y Acoples,Adaptadores,Marzocchi,Pacific Seal Supply,194272.0,122974.0,1,36.0
SKU-00156,Danfoss Control Flujo 452,Válvulas,Control Flujo,Danfoss,Pacific Seal Supply,760103.0,509269.0,10,24.0
SKU-00157,Calzoni Recuperación 584,Winches,Recuperación,Calzoni,Pacific Seal Supply,2253040.0,1915084.0,2,6.0
SKU-00158,Webtec Direccionales Múltiples 237,Comandos Direccionales,Direccionales Múltiples,Webtec,Industrial Flow Partners,463557.0,362038.0,2,18.0
SKU-00159,Olaer Diafragma 949,Acumuladores,Diafragma,Olaer,Maestranza Integral,548973.0,461137.0,2,
